	P03_delta11	P06_delta11	P09_delta11	P12_delta11	P14_delta11	P17_delta11	P19_delta11	P22_delta11	P25_delta11	P28_delta11	P31_delta11	P01_mock	P04_mock	P07_mock	P10_mock	P15_mock	P20_mock	P23_mock	P26_mock	P29_mock
IFITM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFITM8P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFITM9P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA11P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA12P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA20P	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IFNA21	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
IFNA22P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNAR1	349	245	67	5	10	184	462	1	285	0	72	113	160	16	12	53	12	313	0	19
IFNAR2	41	16	10	5	0	6	23	0	52	0	0	11	13	1	0	0	4	30	0	8
IFNB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNG	51	1	10	10	0	0	0	0	790	0	0	12	0	4	0	0	0	105	0	0
IFNG-AS1	19	31	10	0	0	3	15	0	1	0	2	2	29	2	0	4	1	7	0	0
IFNGR1	335	117	138	19	46	181	485	7	409	0	102	106	98	25	5	21	7	345	0	31
IFNGR2	213	80	77	20	0	127	322	2	156	0	26	78	56	25	7	29	2	203	0	21
IFNK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNL3P1	3	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	1	0	0
IFNL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNL4P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNLR1	176	82	63	6	20	162	341	2	131	0	93	54	65	9	0	47	12	152	0	34
IFNNP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNW1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNWP15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNWP18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNWP19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNWP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNWP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNWP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNWP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFRD1	151	68	46	8	16	56	211	13	109	15	44	65	55	25	2	19	14	172	10	20
IFRD2	157	69	72	7	12	48	246	2	596	0	12	45	55	13	6	9	0	364	0	23
IFT122	106	66	53	1	8	47	120	14	284	7	41	27	53	6	7	12	21	145	19	12
IFT140	107	26	28	0	5	55	76	1	119	0	17	32	8	3	0	2	1	142	0	7
IFT172	84	35	24	8	7	54	118	7	84	4	10	32	32	10	0	11	16	66	10	21
IFT20	75	43	26	0	5	28	94	0	162	1	25	19	35	11	0	13	3	100	1	0
IFT22	37	8	11	0	0	15	42	0	112	0	4	10	9	3	0	8	0	43	0	0
IFT27	157	65	50	0	6	77	161	0	296	0	28	24	64	16	5	16	0	136	0	3
IFT43	59	17	26	0	0	9	73	0	198	0	11	16	14	4	10	3	2	58	0	3
IFT46	94	40	28	7	12	34	105	2	182	1	28	14	30	12	4	12	3	73	0	8
IFT52	84	39	38	8	0	21	127	0	187	0	15	21	27	5	0	0	0	132	0	0
IFT57	261	85	114	3	15	171	367	3	399	2	40	100	77	11	12	26	12	277	0	16
IFT74	40	24	22	0	4	3	60	2	109	0	8	14	33	2	0	3	1	67	7	5
IFT74-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IFT80	41	57	15	9	0	47	55	0	27	0	11	33	28	4	0	2	1	36	0	0
IFT81	17	9	10	0	0	4	24	0	10	0	0	7	10	3	0	0	0	11	0	0
IFT88	45	25	12	0	4	15	89	3	62	0	5	23	15	3	0	2	4	43	1	5
IFTAP	1	0	0	0	0	1	8	0	11	0	0	0	0	1	0	0	0	2	0	0
IGBP1	942	330	386	22	46	214	529	160	1260	119	80	273	341	181	29	58	130	651	131	102
IGBP1-AS1	2	0	1	0	0	3	12	0	3	0	0	1	1	1	0	0	0	0	0	0
IGBP1-AS2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0
IGBP1P1	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	1	0	0	0	0
IGBP1P3	3	2	1	0	0	4	0	1	3	1	4	1	4	3	0	0	3	7	1	0
IGBP1P4	20	6	13	0	1	3	3	7	2	6	0	8	8	5	0	1	5	8	6	7
IGBP1P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGDCC3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IGDCC4	5	4	0	0	0	0	1	0	0	0	0	6	2	0	0	0	0	5	0	0
IGF1	63	20	23	0	0	0	0	1	28	2	0	6	31	1	0	0	0	11	6	0
IGF1R	127	86	51	0	20	158	198	72	30	75	31	69	68	44	3	101	47	138	122	63
IGF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGF2-AS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGF2BP1	6	4	10	0	0	6	0	1	9	2	4	6	0	0	0	3	0	8	1	0
IGF2BP2	953	593	551	27	149	493	199	657	80	515	152	407	534	330	37	528	420	561	724	218
IGF2BP2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGF2BP3	87	66	39	15	24	81	49	37	10	55	6	45	45	36	6	52	22	46	73	22
IGF2R	678	328	260	13	25	384	857	3	383	0	163	206	216	54	40	98	11	633	0	60
IGFALS	1	1	0	0	0	3	3	0	4	0	0	1	0	0	0	0	0	2	0	0
IGFBP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGFBP2	74	8	6	0	0	0	0	0	163	0	0	22	11	12	0	0	0	75	0	0
IGFBP3	3	8	3	0	0	25	4	0	0	0	4	4	5	12	0	0	0	5	0	3
IGFBP4	224	27	79	19	20	180	487	0	700	0	55	94	46	41	8	31	9	530	0	19
IGFBP5	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0
IGFBP6	1	1	3	0	0	0	0	0	8	0	0	0	3	0	0	0	0	0	0	0
IGFBP7	1	0	0	0	0	2	2	0	7	0	0	1	2	0	0	0	0	6	0	0
IGFBP7-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGFBPL1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGFL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGFL1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGFL1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGFL2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
IGFL2-AS1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGFL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGFL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGFLR1	133	16	20	0	0	22	36	1	138	0	0	40	16	6	0	3	1	101	0	8
IGFN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHA1	6061	4810	1636	11	16	131	321	58	3337	0	56	703	5103	144	25	17	31	631	0	26
IGHA2	11	4	5	0	0	0	0	0	1457	0	0	0	7	0	0	0	2	352	0	13
IGHD	1917	730	1052	90	55	1500	4767	19	4365	0	609	513	559	210	103	411	94	1351	1	277
IGHD1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD1-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD1-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD1-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD1-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD1OR15-1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD1OR15-1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD2-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD2-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD2-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD2-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD2OR15-2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD2OR15-2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD3-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD3-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD3-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD3-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD3-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD3OR15-3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD3OR15-3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD4-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD4-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD4-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD4-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD4OR15-4A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD4OR15-4B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD5-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD5-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD5-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD5-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD5OR15-5A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD5OR15-5B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD6-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD6-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD6-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD6-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHD7-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHE	8	3	5	0	0	2	19	0	26	0	4	1	8	7	0	0	4	10	0	4
IGHEP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHEP2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0
IGHG1	4006	948	412	58	68	125	822	38	7187	3	129	901	1565	65	48	34	53	2297	3	74
IGHG2	7570	4480	1685	19	20	81	452	2	1241	0	24	1252	3890	25	25	45	18	483	2	7
IGHG3	1699	374	239	19	49	128	460	0	3464	0	116	461	283	66	15	37	13	819	2	47
IGHG4	145	23	4	0	7	3	8	0	90	0	0	48	13	1	0	0	0	50	0	0
IGHGP	27	11	5	0	0	2	4	0	3	0	0	4	11	0	0	0	0	1	0	0
IGHJ1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHJ1P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHJ2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHJ2P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHJ3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHJ3P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHJ4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHJ5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHJ6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHM	19521	11992	8917	422	421	5003	15700	69	15078	3	2184	5763	13159	1359	615	1437	479	8499	6	945
IGHMBP2	181	48	102	8	8	101	195	0	295	0	19	38	38	23	10	19	9	184	0	0
IGHV1-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-17	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-18	257	150	58	4	4	48	110	0	78	0	12	50	227	6	1	8	3	42	0	6
IGHV1-2	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
IGHV1-24	54	31	10	0	0	11	64	0	27	0	19	3	45	1	0	3	2	22	0	4
IGHV1-3	125	30	58	0	0	12	56	0	26	0	11	26	57	4	0	0	0	23	0	0
IGHV1-45	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IGHV1-46	129	101	67	0	9	29	109	0	39	0	7	33	106	2	0	0	3	21	0	3
IGHV1-58	1	4	10	0	0	9	4	0	3	0	0	0	1	1	0	0	0	5	0	0
IGHV1-67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IGHV1-68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1-69	43	1	0	0	0	18	4	0	2	0	0	1	0	1	0	5	0	0	0	0
IGHV1-69-2	22	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0
IGHV1-69D	59	12	8	6	0	9	0	0	22	0	3	12	6	6	0	4	0	22	0	0
IGHV1OR15-1	5	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1
IGHV1OR15-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1OR15-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1OR15-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1OR15-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1OR15-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1OR16-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1OR16-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1OR16-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1OR16-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV1OR21-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV2-26	23	5	2	0	0	3	42	0	5	0	4	14	1	3	0	0	0	3	0	4
IGHV2-5	79	106	48	6	0	22	43	0	40	0	5	10	244	4	0	0	2	21	0	5
IGHV2-70	33	6	1	0	0	14	13	33	14	0	4	8	4	2	0	0	6	19	0	0
IGHV2-70D	75	0	2	0	0	0	0	4	1	0	0	10	0	0	0	0	0	3	0	0
IGHV2OR16-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-11	0	4	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0
IGHV3-13	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IGHV3-15	19	11	0	0	0	0	0	0	2	0	0	1	6	0	0	0	0	4	0	0
IGHV3-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-21	8	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IGHV3-22	3	1	2	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0
IGHV3-23	24	13	3	0	0	3	3	0	4	0	0	6	27	0	0	0	0	3	0	0
IGHV3-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-29	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0
IGHV3-30	12	8	1	0	0	0	4	0	2	0	0	0	8	1	0	0	0	1	0	0
IGHV3-30-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-33	520	671	89	14	0	58	185	0	133	0	17	64	676	7	1	41	7	102	1	17
IGHV3-33-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
IGHV3-36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-38	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-41	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0
IGHV3-42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-43	30	3	10	0	0	1	13	0	11	0	0	7	0	0	0	0	0	15	0	3
IGHV3-47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-48	18	10	6	1	0	0	13	0	9	0	3	4	3	0	0	0	0	4	0	0
IGHV3-49	34	138	34	0	5	16	21	0	26	0	0	17	107	4	0	0	2	11	0	0
IGHV3-50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-52	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-64	18	4	8	0	0	0	4	0	0	0	0	2	14	0	0	0	0	0	0	0
IGHV3-64D	595	0	9	0	8	3	29	0	0	0	0	59	0	1	0	8	0	0	0	0
IGHV3-65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-69-1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
IGHV3-7	30	18	4	0	0	0	0	0	0	0	0	10	12	0	1	0	0	0	0	0
IGHV3-71	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-72	3	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
IGHV3-73	3	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0
IGHV3-74	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
IGHV3-75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3OR15-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3OR16-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3OR16-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3OR16-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3OR16-13	8	3	3	0	0	0	1	0	3	0	0	1	8	0	0	0	0	0	0	0
IGHV3OR16-15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3OR16-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3OR16-6	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3OR16-7	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3OR16-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3OR16-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-31	1	0	13	0	0	6	38	0	4	0	0	0	0	1	0	0	0	8	0	4
IGHV4-34	185	154	43	4	0	103	107	1	60	0	15	46	113	10	0	27	1	64	0	12
IGHV4-39	3	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
IGHV4-4	18	25	33	5	0	19	96	0	34	0	6	5	7	0	0	3	1	13	0	0
IGHV4-55	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4-59	317	223	100	12	10	93	368	0	139	0	17	47	337	14	13	2	2	78	0	5
IGHV4-61	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
IGHV4-80	3	4	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV4OR15-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV5-10-1	30	0	3	0	0	7	27	0	0	0	0	24	0	3	0	0	0	0	0	0
IGHV5-51	265	75	70	10	4	42	152	0	73	0	11	46	78	4	5	8	1	39	0	6
IGHV5-78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV6-1	619	130	78	8	0	18	408	2	30	0	0	61	242	1	13	0	0	9	0	0
IGHV7-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV7-34-1	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0
IGHV7-4-1	0	131	2	5	5	4	5	0	61	0	0	1	130	0	0	0	0	34	0	0
IGHV7-40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV7-56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV7-81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV8-51-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHVII-1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHVII-15-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHVII-22-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHVII-26-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHVII-28-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHVII-30-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHVII-30-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHVII-33-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHVII-40-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHVII-43-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHVII-44-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHVII-46-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHVII-49-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHVII-51-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHVII-53-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHVII-60-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHVII-62-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHVII-65-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
