	P03_delta11	P06_delta11	P09_delta11	P12_delta11	P14_delta11	P17_delta11	P19_delta11	P22_delta11	P25_delta11	P28_delta11	P31_delta11	P02_wt	P05_wt	P08_wt	P11_wt	P13_wt	P16_wt	P18_wt	P21_wt	P24_wt	P27_wt	P30_wt
FAM71F1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM71F2	3	8	0	0	5	3	10	0	9	0	0	3	5	1	0	0	0	2	0	4	0	0
FAM72A	27	22	10	0	0	5	17	0	54	0	5	13	9	0	0	0	0	0	0	97	0	0
FAM72B	37	25	16	0	0	0	21	0	98	0	0	23	20	3	0	0	0	0	0	95	0	0
FAM72C	3	8	0	0	0	5	6	0	15	0	0	1	4	0	0	0	0	0	0	16	1	0
FAM72D	19	9	2	0	0	9	21	0	29	0	6	16	5	0	0	0	0	0	0	43	0	0
FAM74A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM74A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM74A4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM74A6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM74A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM76A	116	43	40	1	12	65	118	43	76	38	34	85	59	44	0	8	5	63	35	138	45	39
FAM76B	134	112	35	1	42	102	193	37	52	23	49	219	31	47	27	25	45	104	28	199	54	68
FAM78A	681	211	216	52	27	301	707	0	820	1	58	433	172	95	5	21	75	250	12	1005	0	19
FAM78B	294	141	125	15	22	101	47	75	72	96	59	172	100	117	1	49	66	37	89	89	211	75
FAM78B-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM81A	10	4	6	0	5	13	30	0	2	0	8	16	4	2	0	7	4	16	0	22	0	0
FAM81B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM83A	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM83A-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM83B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM83C	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
FAM83C-AS1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0
FAM83D	61	40	13	0	0	2	14	0	67	0	0	31	33	5	0	0	0	0	0	136	0	0
FAM83E	0	0	0	0	0	0	0	0	7	0	0	0	6	0	0	0	0	0	0	0	0	0
FAM83F	2	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0
FAM83G	158	44	65	1	12	50	171	0	328	0	36	84	35	20	7	12	4	31	0	239	0	16
FAM83H	2	3	9	0	0	0	3	0	3	0	0	2	3	0	0	0	0	0	0	9	0	0
FAM85B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
FAM86B1	2	1	0	0	0	0	2	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0
FAM86B2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM86B3P	0	0	0	0	0	0	0	0	13	0	5	3	0	0	0	0	0	0	0	20	0	0
FAM86C1P	19	6	10	0	6	11	13	0	62	0	0	12	3	8	0	0	0	5	2	74	0	0
FAM86C2P	6	2	3	0	0	7	14	0	35	0	0	10	1	1	0	0	0	0	0	13	0	2
FAM86DP	2	0	0	0	0	0	0	0	28	0	0	7	0	2	0	0	0	5	0	20	0	0
FAM86EP	9	2	3	0	0	0	3	0	31	0	0	3	0	0	0	0	0	0	0	13	0	0
FAM86FP	2	1	0	0	0	3	3	0	37	0	0	1	0	0	0	0	0	7	0	26	0	0
FAM86GP	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0
FAM86HP	3	5	0	0	0	6	19	0	6	0	4	1	0	1	0	0	3	0	0	18	0	0
FAM86JP	3	3	0	0	0	4	3	0	19	0	0	1	2	2	0	0	0	3	0	9	0	0
FAM86KP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM86LP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM86MP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM87A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM87B	3	1	2	0	0	0	5	0	0	0	0	3	1	0	0	0	0	4	0	3	0	0
FAM89A	43	8	10	0	0	3	6	0	65	0	9	21	12	9	0	0	0	0	0	62	0	1
FAM89B	33	16	16	0	0	0	25	0	83	0	9	19	15	3	0	0	0	4	0	31	0	0
FAM8A1	189	134	27	9	20	57	139	47	29	43	24	185	47	49	20	0	15	43	25	99	102	64
FAM8A2P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM8A3P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM8A4P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM8A6P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A1	4	7	2	0	0	2	5	0	20	0	0	2	1	0	0	0	0	6	0	5	0	0
FAM90A10P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A11P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A12P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A13P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A14P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A15P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A16P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A17P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A18P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A19P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A20P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A21P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A22P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A23P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A24P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A25P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A27P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A28P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A2P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A3P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A4P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A5P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A6P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A7P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A8P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A9P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM91A1	278	196	74	14	13	179	346	32	124	26	51	344	76	60	9	17	42	232	6	407	56	30
FAM91A2P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM91A3P	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
FAM95B1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM95C	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0
FAM96AP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM96AP2	0	0	0	0	0	0	2	0	4	0	0	2	0	0	0	0	0	0	0	8	0	0
FAM98A	1055	742	556	18	190	616	488	552	420	689	310	920	495	590	61	320	341	270	413	794	1295	570
FAM98B	168	103	45	5	0	34	164	0	296	0	33	128	51	23	5	3	8	45	0	402	0	9
FAM98C	155	57	57	5	0	48	197	0	339	0	32	107	38	12	5	4	12	47	3	265	0	3
FAM99A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM99B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM9A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM9B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
FAM9C	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAN1	52	22	17	0	0	16	47	0	49	0	12	51	8	12	0	0	8	24	0	73	0	0
FANCA	193	176	91	24	0	61	143	0	650	0	11	117	103	7	0	0	1	51	0	528	0	3
FANCB	11	15	1	0	0	4	28	0	18	0	0	13	4	0	0	0	0	0	0	15	0	0
FANCC	40	26	20	0	0	39	61	1	138	0	5	27	21	2	0	0	0	39	0	102	0	0
FANCD2	210	129	88	0	4	81	238	0	373	0	42	191	72	19	7	15	17	95	3	517	0	9
FANCD2OS	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0
FANCD2P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FANCE	69	23	37	4	0	29	90	0	203	0	17	49	18	12	0	3	3	23	0	205	0	5
FANCF	114	34	31	6	0	35	100	0	108	0	23	84	26	12	0	4	8	60	3	134	0	8
FANCG	238	96	92	6	0	39	172	0	736	0	24	138	67	20	9	13	6	65	4	497	0	4
FANCI	277	199	134	0	15	59	198	4	874	0	21	216	99	44	5	3	0	19	5	946	0	3
FANCL	83	45	19	0	0	28	65	0	95	0	4	80	23	11	7	0	5	35	0	140	0	3
FANCM	42	32	14	0	5	16	49	0	39	0	13	43	17	2	0	0	0	17	0	75	0	0
FANK1	4	0	1	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	8	0	0
FANK1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
FAR1	370	369	162	6	69	411	309	213	137	249	140	431	159	212	17	94	122	196	63	442	545	262
FAR1-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAR1P1	2	0	0	0	0	0	0	1	0	3	2	0	2	1	0	0	0	4	0	1	0	1
FAR2	15	3	3	0	0	4	4	0	28	0	4	10	0	0	0	0	3	4	0	84	0	0
FAR2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAR2P2	9	3	5	0	0	0	6	0	4	0	0	6	4	1	0	0	0	8	0	0	0	0
FAR2P3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
FAR2P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FARP1	22	7	7	0	4	12	9	0	13	0	8	21	5	1	0	0	0	15	0	18	0	3
FARP1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FARP2	211	84	95	9	11	121	329	4	243	2	26	199	58	36	23	11	14	138	3	430	1	9
FARS2	73	43	33	12	5	9	78	0	293	0	11	39	29	9	3	0	2	14	0	179	0	5
FARSA	587	195	305	0	22	142	437	3	2040	0	87	310	211	47	6	0	15	106	10	1174	0	16
FARSA-AS1	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0
FARSB	225	106	109	5	5	93	275	0	1113	0	37	134	107	28	20	15	10	75	3	724	0	7
FARSBP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAS	168	60	34	0	4	19	20	4	309	0	0	179	38	15	0	0	0	8	1	740	0	2
FASLG	33	3	5	0	0	0	0	0	30	0	0	19	0	9	0	0	0	0	0	61	0	0
FASN	726	347	365	31	66	461	925	14	1680	4	160	394	290	136	34	33	45	374	17	2082	1	37
FASTK	630	203	239	17	43	195	608	4	1395	0	78	432	201	45	32	28	38	182	0	743	1	19
FASTKD1	196	111	43	0	0	41	136	0	267	0	9	141	44	15	0	0	21	37	0	211	0	6
FASTKD2	152	78	52	5	12	60	155	0	293	0	22	149	51	27	0	12	8	55	6	352	0	6
FASTKD3	63	24	19	0	0	7	59	0	38	0	16	51	12	7	0	0	7	9	2	70	0	0
FASTKD5	187	84	75	0	4	68	182	2	319	0	22	123	69	22	3	3	17	48	3	415	0	4
FAT1	208	93	57	8	36	61	29	140	37	54	40	156	175	60	8	21	23	12	190	49	108	111
FAT1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAT2	2	1	2	0	0	6	4	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0
FAT3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAT4	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FATE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAU	2455	778	1149	91	91	619	2083	13	8071	2	292	1326	838	259	89	16	59	717	72	3494	1	69
FAUP1	24	3	3	0	1	1	4	1	64	0	1	6	9	0	0	1	0	5	0	26	1	0
FAUP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAXC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAXDC2	4	2	1	0	0	4	10	0	7	0	0	6	1	0	0	0	0	12	0	10	0	0
FBF1	40	15	24	0	0	5	24	4	123	0	5	26	17	6	0	0	0	21	4	98	0	4
FBH1	922	486	353	17	27	312	745	76	589	51	60	625	301	115	20	34	53	343	40	925	79	63
FBL	951	309	409	12	23	197	878	4	6258	6	90	456	328	95	32	23	42	218	18	2215	2	56
FBLIM1	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBLL1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
FBLN1	1	0	2	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	2
FBLN2	15	2	0	0	0	13	5	0	8	0	0	13	3	0	0	6	0	13	0	16	0	0
FBLN5	30	2	8	0	0	1	0	5	32	10	0	25	5	15	0	0	0	0	4	70	13	9
FBLN7	30	5	10	0	0	0	0	0	116	0	0	17	3	5	0	0	0	0	0	100	0	0
FBN1	41	22	34	0	16	39	29	22	8	28	25	41	24	30	0	5	6	12	13	55	58	24
FBN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBN3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FBP1	54	12	27	6	0	2	11	0	26	0	0	18	9	10	0	0	0	14	0	60	0	0
FBP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBP2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBRS	2050	917	955	79	386	1084	1647	786	1926	570	527	1500	722	660	64	331	428	734	452	2581	1071	857
FBRSL1	442	127	258	9	39	236	928	3	586	0	58	303	98	76	31	33	31	346	12	921	0	70
FBXL12	149	52	61	5	5	45	139	0	202	0	16	100	39	13	0	0	7	59	5	164	0	0
FBXL12P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXL13	1	0	1	0	0	2	5	0	0	0	5	3	0	0	0	0	4	0	0	11	0	0
FBXL14	569	309	283	12	74	280	245	318	112	281	102	403	235	315	19	101	138	108	166	365	566	267
FBXL15	162	28	50	5	13	28	123	2	573	0	8	67	37	15	0	0	4	26	2	230	0	5
FBXL16	230	81	69	9	23	48	61	108	53	50	27	117	85	69	1	22	25	13	122	106	80	77
FBXL17	156	88	51	5	20	59	96	51	29	50	23	118	51	54	2	20	35	62	44	83	80	38
FBXL18	57	25	22	6	0	12	45	0	52	0	24	27	28	9	0	8	5	40	0	68	0	0
FBXL19	612	287	331	8	107	295	379	120	608	254	91	444	194	256	14	69	110	109	106	675	437	227
FBXL19-AS1	19	12	5	0	0	8	27	0	8	0	9	13	1	0	0	5	0	28	0	28	0	0
FBXL2	2	5	2	0	0	3	9	1	4	0	0	2	3	0	0	1	0	0	0	0	0	0
FBXL20	235	124	108	18	55	142	171	111	108	93	30	204	69	109	12	43	40	109	89	225	166	105
FBXL21P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXL22	7	0	2	0	0	3	3	0	1	0	4	1	0	0	0	0	0	0	2	0	0	0
FBXL3	191	122	64	12	20	93	232	29	79	23	68	241	68	43	12	23	16	167	16	257	24	24
FBXL4	81	43	27	0	4	27	129	4	38	1	11	85	25	14	7	0	12	63	3	126	8	10
FBXL5	656	264	267	22	87	269	351	353	219	197	100	552	266	246	4	60	114	247	338	515	416	216
FBXL6	68	22	20	0	3	16	77	0	146	0	7	26	17	3	0	0	0	19	1	149	0	3
FBXL7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXL8	35	13	7	0	0	2	3	0	55	0	0	16	6	3	0	0	0	4	0	38	0	0
FBXO10	116	60	49	0	0	45	108	0	123	0	10	78	55	2	4	0	12	28	1	61	0	2
FBXO11	608	454	216	26	111	375	405	377	103	216	107	582	251	275	20	123	176	271	212	507	436	327
FBXO15	4	1	0	0	0	2	2	0	0	0	0	1	3	3	0	0	0	8	0	2	0	0
FBXO16	6	14	1	0	0	0	4	0	9	0	0	2	9	0	0	0	0	0	0	3	0	0
FBXO17	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
FBXO2	94	16	8	0	0	10	45	0	132	2	0	40	15	9	0	0	0	17	0	79	3	1
FBXO21	140	75	43	6	10	69	179	3	147	0	48	114	59	19	7	12	20	98	0	360	0	12
FBXO22	220	96	88	0	24	106	148	38	262	72	39	199	63	68	0	38	17	123	62	274	78	40
FBXO24	7	3	2	0	0	0	2	0	7	0	0	6	0	0	0	0	0	8	0	2	0	0
FBXO25	101	48	29	10	12	48	102	0	258	0	17	74	18	12	6	4	5	57	4	201	0	10
FBXO27	7	1	0	0	0	0	1	0	7	0	0	6	2	1	0	0	0	0	0	0	0	0
FBXO28	211	116	61	8	24	91	206	24	87	32	53	174	65	41	6	10	10	118	20	200	40	19
FBXO3	143	100	37	18	9	78	190	0	96	0	23	132	43	29	8	21	14	94	5	239	0	7
FBXO3-DT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO30	89	52	35	1	8	42	120	29	37	17	23	99	22	25	0	4	10	69	5	134	46	13
FBXO30-DT	11	6	2	0	0	12	6	0	6	0	4	10	0	1	0	1	0	6	0	9	0	0
FBXO31	216	62	92	12	22	67	155	12	416	3	34	141	80	30	0	8	7	20	19	392	4	16
FBXO32	45	11	11	0	0	34	112	0	52	3	13	40	8	14	0	0	5	41	1	82	3	11
FBXO33	1128	506	419	25	156	512	360	489	398	356	218	899	494	434	50	126	181	194	758	727	686	331
FBXO34	188	77	62	10	13	107	243	2	160	0	32	163	48	30	10	8	12	114	2	285	0	4
FBXO36	4	2	2	0	0	0	2	0	15	0	0	1	0	1	0	0	0	0	1	21	0	0
FBXO36-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO36P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO38	1155	549	551	33	194	597	580	740	312	374	291	989	529	515	23	102	158	353	520	742	738	271
FBXO39	0	0	0	0	0	4	3	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0
FBXO4	67	38	20	0	5	17	31	1	120	2	4	42	32	4	0	1	2	39	5	117	1	0
FBXO40	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0
FBXO41	343	171	112	28	18	153	316	7	355	0	40	250	95	38	6	7	12	99	6	587	0	13
FBXO42	269	78	89	13	17	90	257	0	305	0	52	168	69	28	20	0	20	131	4	336	0	12
FBXO43	19	15	6	0	5	6	16	0	36	0	0	13	5	1	0	0	0	0	0	50	0	4
FBXO44	397	98	140	0	6	110	350	4	833	0	35	262	98	48	7	6	30	95	8	574	0	11
FBXO45	188	74	60	0	5	61	81	53	145	70	47	115	47	57	0	24	33	48	24	205	90	44
FBXO46	383	169	164	15	16	108	296	0	308	0	58	221	135	30	7	4	19	76	2	225	0	0
FBXO47	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FBXO48	25	27	2	7	0	20	38	0	8	0	12	25	12	5	0	4	11	12	0	36	0	0
FBXO5	129	106	40	5	18	44	131	0	142	0	14	85	46	11	0	0	4	55	1	329	0	0
FBXO6	169	45	82	0	0	27	69	0	596	0	9	124	34	22	6	0	2	19	0	310	0	4
FBXO7	787	257	335	21	50	257	680	1	1708	0	147	574	207	105	15	13	18	301	6	1403	0	19
FBXO8	267	163	97	5	22	104	91	106	72	90	27	233	124	125	3	32	26	61	110	129	220	78
FBXO9	264	137	91	6	20	146	368	6	234	0	64	247	85	35	3	10	14	144	15	511	0	13
FBXW10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FBXW11	1140	675	440	23	132	624	636	482	273	547	195	1039	517	465	45	154	238	311	223	750	911	433
FBXW11P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXW12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
FBXW2	2489	1288	1115	54	285	1053	963	1069	844	1199	496	1841	1022	1166	78	409	513	505	971	1594	2373	880
FBXW4	278	85	103	9	12	95	289	7	744	3	68	204	85	40	14	5	12	111	25	494	7	4
FBXW4P1	3	2	0	0	0	0	7	0	1	0	0	1	2	0	0	0	0	0	0	14	0	0
FBXW5	933	231	351	37	5	299	756	1	2428	0	84	455	215	75	30	35	32	287	19	1611	0	33
FBXW7	547	406	192	35	83	211	261	102	208	116	65	469	232	115	17	32	35	75	85	464	225	86
FBXW7-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXW8	84	56	31	6	9	77	136	0	101	0	21	79	40	18	0	9	7	100	1	153	0	6
FBXW9	20	5	3	0	0	0	20	0	113	0	3	15	9	3	0	0	9	0	0	55	0	0
FCAMR	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCAR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCER1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCER1G	31	4	10	0	0	0	0	0	48	0	0	28	5	6	0	0	0	0	0	39	0	0
FCER2	340	350	505	39	103	857	3898	4	429	0	471	275	353	61	89	43	99	1571	42	192	1	39
FCF1	155	78	61	0	11	90	187	0	259	2	46	156	68	22	4	13	32	101	10	384	5	3
FCF1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCF1P10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCF1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCF1P3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FCF1P4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCF1P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCF1P6	29	25	17	0	8	13	3	24	27	17	10	23	10	22	2	3	7	6	33	25	24	18
FCF1P7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCF1P8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FCF1P9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGBP	15	9	4	0	5	56	79	0	1	0	13	8	19	13	0	5	11	75	0	17	0	0
FCGR1A	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGR1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGR1CP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGR2A	22850	10406	15310	1147	9581	26461	18341	29308	9213	23975	12577	21503	11529	18222	1357	3683	6766	9015	33970	21624	49942	11613
FCGR2B	379	181	102	12	4	144	484	0	339	1	61	294	135	46	0	11	10	264	10	398	2	20
FCGR2C	67	11	12	4	16	22	34	14	40	8	20	67	14	22	0	6	5	18	21	111	46	9
FCGR3A	11	0	0	0	0	0	0	0	18	0	0	19	4	0	0	0	0	0	0	34	0	0
FCGR3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGRT	146	44	86	7	12	39	186	0	291	0	30	83	32	14	7	0	22	90	3	177	0	0
FCHO1	454	122	176	23	19	327	922	11	523	3	86	332	108	52	13	4	59	455	24	622	0	12
FCHO2	36	57	14	0	10	20	36	46	0	20	17	72	21	22	0	8	13	22	5	26	61	39
FCHSD1	430	130	156	15	9	187	545	4	764	0	114	378	95	53	34	8	23	225	4	774	0	27
FCHSD2	802	424	344	27	73	486	921	163	499	173	214	686	219	227	15	74	154	526	67	806	362	254
FCMR	2215	590	1037	149	135	2558	7159	16	1284	0	1063	1699	340	414	164	171	410	3128	87	2177	4	153
FCN1	13	1	3	2	0	1	3	0	0	1	0	2	2	2	5	0	3	2	0	2	2	0
FCN2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCRL1	389	188	145	24	40	1234	2453	5	199	0	448	537	56	85	64	23	250	1851	3	635	0	47
FCRL2	884	332	254	51	37	775	1692	9	295	0	233	771	218	75	31	48	107	993	26	742	0	48
FCRL3	1137	366	533	91	128	1664	3161	17	782	0	693	1167	182	250	94	114	179	2370	39	1050	0	127
