	P01_mock	P04_mock	P07_mock	P10_mock	P15_mock	P20_mock	P23_mock	P26_mock	P29_mock	P02_wt	P05_wt	P08_wt	P11_wt	P13_wt	P16_wt	P18_wt	P21_wt	P24_wt	P27_wt	P30_wt
ATP5MF-PTCD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5MFP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5MFP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5MFP4	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
ATP5MFP5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ATP5MFP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5MG	53	65	8	6	7	2	165	0	4	94	71	15	7	4	0	28	2	243	0	3
ATP5MGL	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0
ATP5MGP2	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ATP5MGP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5MGP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5MGP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5MGP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5MGP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5MPL	63	96	27	20	4	2	348	0	16	131	80	22	5	0	6	65	5	482	0	7
ATP5PB	184	302	67	28	65	8	1210	0	49	515	350	81	20	12	16	186	10	1744	0	19
ATP5PBP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5PBP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5PBP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5PBP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5PBP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5PBP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5PBP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5PD	75	106	38	20	7	15	424	0	21	163	119	31	0	4	14	82	7	569	0	0
ATP5PDP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5PDP2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
ATP5PDP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5PDP4	0	0	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0	2	0	0
ATP5PF	77	125	25	4	8	1	371	1	16	191	138	26	20	8	4	81	6	492	2	4
ATP5PFP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5PO	31	55	14	0	4	1	204	0	7	69	49	17	4	0	4	34	6	334	1	6
ATP5POP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6AP1	135	196	52	7	14	5	495	0	26	309	167	60	9	0	55	171	11	570	1	20
ATP6AP1L	16	8	2	0	6	0	18	0	2	28	6	1	0	0	1	13	1	22	0	2
ATP6AP2	100	133	19	5	32	10	272	0	13	229	111	26	1	6	8	65	4	340	2	4
ATP6V0A1	113	225	58	38	112	36	219	119	65	262	186	82	15	21	42	325	44	301	102	80
ATP6V0A2	47	47	8	14	20	2	178	0	4	135	42	23	0	19	12	127	0	316	0	3
ATP6V0A4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V0B	124	168	46	34	24	21	485	8	27	229	156	66	1	14	4	131	8	594	11	16
ATP6V0C	7	5	0	2	0	0	30	0	0	10	3	2	0	0	0	1	0	34	0	0
ATP6V0CP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V0CP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V0CP3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ATP6V0CP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
ATP6V0D1	146	258	48	46	24	8	486	6	13	372	203	73	26	25	34	126	12	577	4	28
ATP6V0D2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0
ATP6V0E1	208	216	98	11	13	16	683	0	27	447	202	73	11	7	20	138	13	847	2	8
ATP6V0E1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V0E1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V0E1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V0E1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V0E2	42	29	28	8	11	0	306	0	7	60	30	24	0	0	4	4	5	330	0	3
ATP6V0E2-AS1	7	1	2	0	0	0	15	0	0	5	0	3	0	0	0	4	0	4	0	0
ATP6V1A	87	94	12	20	28	3	235	0	15	205	73	25	13	16	23	120	3	388	0	8
ATP6V1B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V1B1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V1B2	111	146	43	20	46	6	551	24	26	294	129	68	6	15	8	101	28	689	27	26
ATP6V1C1	54	97	14	24	27	6	180	6	16	160	78	29	7	18	4	120	5	242	7	9
ATP6V1C2	2	9	3	0	0	0	23	0	0	24	6	0	0	4	3	9	0	30	0	0
ATP6V1D	50	80	7	0	4	1	195	0	13	121	64	12	13	5	3	39	0	274	0	2
ATP6V1E1	216	246	146	21	57	47	775	118	34	404	206	122	8	24	59	185	79	1040	96	68
ATP6V1E1P1	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
ATP6V1E2	11	21	6	0	0	5	41	0	0	25	14	6	0	4	6	25	0	44	0	0
ATP6V1F	88	128	26	29	18	12	410	18	38	227	141	33	13	0	4	68	17	557	19	8
ATP6V1FNB	7	9	4	0	0	0	5	0	0	13	6	2	0	0	0	0	0	24	0	0
ATP6V1G1	309	333	285	79	123	101	752	330	115	583	284	323	42	62	102	318	235	785	427	123
ATP6V1G1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V1G1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V1G1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V1G1P6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V1G1P7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V1G2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
ATP6V1G2-DDX39B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V1G3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ATP6V1H	139	181	136	14	115	46	420	200	111	257	165	150	20	63	47	95	119	459	245	84
ATP7A	26	39	7	0	21	4	79	16	3	78	20	22	0	0	12	62	0	68	22	11
ATP7B	0	5	1	0	3	0	27	0	0	8	2	0	0	0	0	0	0	31	0	5
ATP8A1	92	76	11	11	43	14	309	2	22	315	30	53	5	4	28	210	1	446	2	17
ATP8A2	1	0	0	0	0	0	15	0	0	8	1	0	0	0	0	0	0	17	0	0
ATP8A2P2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ATP8A2P3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP8B1	6	2	3	0	0	0	5	0	0	18	4	7	0	0	0	39	0	22	1	0
ATP8B2	204	299	76	10	138	122	470	134	109	415	184	141	11	62	83	170	26	411	196	152
ATP8B3	2	2	2	0	0	0	50	0	4	22	6	5	0	0	0	0	0	70	0	0
ATP8B4	14	4	1	0	0	0	56	0	0	36	4	4	6	7	0	0	0	105	0	0
ATP8B5P	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP9A	25	9	3	0	0	0	25	0	0	46	9	1	0	0	0	0	0	57	0	0
ATP9B	53	64	4	1	30	20	112	15	19	85	42	21	12	0	7	69	3	147	20	17
ATPAF1	101	118	32	3	12	14	393	20	19	230	112	38	5	10	15	50	27	595	21	27
ATPAF2	37	61	18	0	18	13	185	14	32	114	60	31	1	4	11	49	16	184	19	17
ATPSCKMT	9	12	3	0	5	0	43	0	4	29	17	4	0	0	4	16	0	92	0	3
ATR	115	125	67	4	82	36	331	61	28	238	95	72	11	20	42	219	72	427	73	39
ATRAID	69	111	34	0	20	8	294	0	6	146	136	18	0	7	4	123	6	436	0	11
ATRIP	31	39	11	0	4	1	174	0	17	69	29	10	16	5	3	32	0	199	0	9
ATRN	47	71	18	0	45	14	160	40	15	151	60	39	1	18	22	118	9	200	35	38
ATRNL1	31	19	5	3	22	40	34	47	4	48	18	25	0	9	10	9	9	17	53	32
ATRX	287	321	42	13	126	76	440	122	121	734	135	123	15	75	90	386	47	566	160	133
ATXN1	161	147	17	1	0	12	301	7	6	351	76	35	11	20	6	54	20	365	6	34
ATXN1-AS1	3	2	0	0	0	0	3	0	0	7	7	0	0	0	0	0	0	15	0	0
ATXN10	91	93	29	14	26	14	392	0	6	203	107	40	15	5	27	122	3	621	0	16
ATXN1L	254	277	135	18	192	154	432	306	147	477	233	211	17	73	96	285	199	465	359	231
ATXN2	405	482	238	37	368	454	527	481	333	656	325	428	57	238	183	350	438	395	700	540
ATXN2-AS	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0
ATXN2L	1536	1902	1128	152	1121	1687	3169	1657	942	2757	1953	1628	161	748	766	1075	1875	3180	2467	1448
ATXN3	32	39	2	5	16	6	138	8	10	85	26	30	5	0	15	111	1	189	6	5
ATXN3L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ATXN7	102	43	13	16	24	11	265	5	31	195	52	32	12	26	25	204	5	336	7	28
ATXN7L1	361	388	227	25	262	520	376	528	221	680	292	473	7	142	206	197	260	290	747	438
ATXN7L2	140	161	105	9	69	216	179	115	72	216	137	103	16	56	43	19	120	255	152	122
ATXN7L3	465	479	258	36	267	280	1109	450	163	771	376	376	26	151	136	401	181	1369	577	401
ATXN7L3B	113	107	51	23	72	21	467	0	32	359	108	57	11	14	42	338	2	618	0	14
ATXN8OS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUH	18	13	7	0	1	0	116	0	0	40	12	5	0	0	3	17	2	155	0	0
AUNIP	4	9	0	0	0	2	38	0	0	8	13	1	0	0	0	4	0	58	0	0
AUP1	435	587	193	47	147	106	1440	100	106	950	522	226	62	104	106	502	181	1759	165	112
AURKA	40	94	4	20	0	0	464	0	3	124	114	14	11	0	0	26	0	787	0	3
AURKAIP1	118	172	52	7	18	6	718	0	24	227	232	51	5	16	7	149	11	919	3	7
AURKAP1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AURKAP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AURKB	39	139	8	7	1	2	498	0	0	174	149	19	0	5	0	17	6	784	0	3
AURKC	3	0	0	0	0	1	4	0	3	6	1	0	0	0	0	4	0	7	0	0
AUTS2	23	10	11	0	14	1	130	0	11	64	5	13	0	2	8	57	0	131	0	6
AUXG01000058.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2
AVEN	14	34	3	5	0	0	76	0	0	17	25	6	0	0	0	11	0	119	0	6
AVIL	7	6	3	0	0	0	23	0	1	18	5	3	0	5	0	0	4	30	0	2
AVL9	62	81	14	6	36	10	233	0	22	236	61	25	8	4	22	161	7	394	2	17
AVP	2	1	1	0	0	0	1	0	0	3	1	3	0	0	0	4	0	0	0	0
AVPI1	1	11	4	0	4	0	12	2	1	11	7	1	8	0	0	2	0	18	0	0
AVPR1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AVPR1B	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AVPR2	0	1	0	0	0	0	4	0	5	4	0	0	0	0	3	0	0	3	0	0
AWAT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AWAT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AXDND1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
AXIN1	110	114	53	11	40	11	500	0	25	234	84	62	4	9	52	176	7	547	0	15
AXIN2	8	4	7	0	4	0	31	1	4	11	0	4	7	0	0	0	0	27	0	0
AXL	8	10	10	0	12	11	7	29	3	7	11	11	0	4	4	0	2	11	23	11
AZGP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AZGP1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
AZGP1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AZI2	25	25	2	0	7	0	65	0	0	47	7	7	6	3	3	7	0	96	0	3
AZIN1	945	1033	541	62	1041	603	1670	2021	451	1726	789	1023	39	600	488	571	378	1704	3053	1108
AZIN1-AS1	7	16	1	0	4	0	22	0	5	11	7	4	0	0	0	4	0	47	0	1
AZIN2	73	50	51	15	5	83	73	66	28	75	61	65	4	8	17	7	39	73	87	52
AZU1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AZU1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B2M	3201	1991	1268	399	389	166	9488	3	367	5676	1628	1195	321	188	260	2568	175	12500	18	261
B3GALNT1	10	1	0	2	0	0	14	0	0	19	2	1	0	0	0	2	0	31	0	4
B3GALNT1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3GALNT2	10	8	0	0	0	0	28	0	1	19	5	5	4	0	9	10	0	53	1	4
B3GALNT2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3GALT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3GALT1-AS1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
B3GALT2	4	5	1	0	0	0	3	0	0	12	0	6	0	0	0	0	0	13	0	0
B3GALT4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3GALT5	3	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
B3GALT5-AS1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
B3GALT6	48	52	30	6	16	6	292	0	8	82	38	15	0	9	11	92	4	352	0	6
B3GAT1	12	6	0	0	0	0	34	0	0	18	2	4	0	0	0	0	0	47	0	0
B3GAT2	0	1	0	0	0	0	5	0	0	1	0	0	0	0	0	10	0	0	0	0
B3GAT3	73	96	43	7	16	5	411	2	11	197	115	47	0	0	23	99	8	587	1	3
B3GAT3P1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3GLCT	6	14	1	0	9	0	36	0	0	14	7	2	0	0	4	32	0	40	0	3
B3GNT10	2	7	0	0	2	0	12	0	0	17	6	0	0	0	0	3	0	28	0	0
B3GNT2	69	72	5	6	3	3	167	0	4	176	61	15	10	0	13	36	1	232	0	6
B3GNT2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3GNT3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B3GNT4	2	4	1	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0
B3GNT5	1	0	0	0	0	0	3	0	0	1	0	2	0	0	0	0	0	13	0	0
B3GNT6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3GNT7	16	30	3	7	4	5	52	0	7	44	35	10	0	4	0	28	0	77	0	5
B3GNT8	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	2	5	0	0
B3GNT9	10	13	1	0	0	0	56	0	4	20	9	1	0	0	0	4	0	17	0	0
B3GNTL1	4	2	2	0	0	0	40	0	0	6	2	7	0	0	0	9	0	79	0	0
B3GNTL1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3GNTL1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B4GALNT1	1	0	0	0	0	0	12	0	0	2	1	1	0	0	0	0	0	17	0	0
B4GALNT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B4GALNT2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B4GALNT3	2	2	2	0	0	0	57	0	2	0	0	0	0	0	0	0	0	65	0	0
B4GALNT4	4	0	1	0	0	0	7	0	0	3	0	1	0	5	0	0	0	12	0	0
B4GALT1	339	397	63	20	82	42	961	2	34	1023	314	87	22	16	41	438	17	1329	0	37
B4GALT1-AS1	0	1	0	0	0	0	4	0	0	2	0	0	0	5	0	0	0	0	0	0
B4GALT2	48	97	31	0	23	32	200	48	34	130	94	36	7	16	21	8	13	300	83	25
B4GALT3	114	361	27	20	34	16	429	0	9	429	376	41	6	6	3	123	5	572	0	7
B4GALT4	38	42	10	0	0	0	94	0	4	87	24	8	0	3	4	26	5	202	0	0
B4GALT4-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B4GALT5	105	111	60	16	35	20	328	66	31	260	84	62	6	14	25	87	20	513	64	52
B4GALT6	1	0	0	0	0	0	17	0	0	3	0	0	0	0	0	0	0	12	0	0
B4GALT7	45	73	20	0	18	4	185	0	5	74	61	30	0	0	11	44	5	195	0	0
B4GAT1	29	41	26	10	16	13	61	35	11	60	39	23	0	6	11	31	12	101	36	16
B9D1	5	22	0	0	0	0	11	0	3	18	32	0	0	0	0	4	0	16	1	0
B9D2	12	7	2	7	0	1	44	0	3	15	7	3	0	0	0	8	0	48	0	5
BAALC	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	0	0
BAALC-AS1	1	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	2	0	0
BAALC-AS2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BAAT	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
BABAM1	33	59	13	0	23	0	222	0	16	91	48	15	6	0	13	75	6	275	0	1
BABAM2	109	83	67	22	62	36	274	46	26	143	87	84	18	21	35	60	70	340	59	59
BACE1	8	6	3	2	3	1	12	8	3	14	7	9	0	4	7	13	1	24	13	4
BACE1-AS	3	10	3	1	0	0	16	0	2	8	4	4	5	0	0	20	1	30	0	0
BACE2	39	26	7	6	6	5	54	0	0	101	26	2	5	12	0	45	4	48	0	6
BACE2-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACH1	62	73	12	0	36	9	180	0	38	201	55	27	4	22	24	140	5	240	0	16
BACH1-AS1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BACH1-IT1	0	1	0	0	0	0	3	0	2	2	0	1	0	0	0	0	1	6	0	0
BACH1-IT2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACH1-IT3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACH2	16	6	9	0	29	8	81	0	34	78	10	18	5	10	16	228	0	129	0	13
BAD	19	30	10	0	1	0	137	0	0	52	21	1	0	0	8	18	0	158	0	0
BAG1	91	119	24	27	12	7	512	0	14	201	114	32	11	0	13	104	3	632	0	15
BAG2	20	32	1	4	6	0	121	0	0	38	31	5	6	4	0	22	1	226	0	3
BAG3	89	106	91	11	35	60	290	127	47	163	83	109	0	13	24	31	147	360	102	90
BAG4	30	30	6	0	13	0	77	0	2	80	19	12	6	1	7	50	3	145	0	0
BAG5	58	75	16	10	46	4	264	0	30	168	56	29	12	13	27	153	4	380	0	19
BAG6	554	656	353	87	326	275	1772	478	301	971	544	435	31	195	191	652	328	2173	543	379
BAGE2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0
BAHCC1	2	5	2	0	6	2	8	9	3	18	2	11	0	4	4	0	1	7	8	17
BAHD1	167	122	72	23	57	24	377	71	69	230	120	98	13	19	41	116	79	448	108	88
BAIAP2	5	12	9	0	4	2	42	0	0	9	3	2	0	0	4	0	3	61	0	0
BAIAP2-DT	6	4	1	7	0	0	18	0	0	8	6	1	0	0	0	2	0	17	0	0
BAIAP2L1	1	2	0	0	0	0	18	0	0	4	8	2	0	0	0	13	0	33	0	0
BAIAP2L2	2	9	3	0	0	0	8	0	7	7	3	0	0	0	0	0	0	27	4	0
BAIAP3	43	54	9	7	10	21	99	0	0	89	23	11	0	20	2	38	6	102	1	11
BAK1	104	133	30	0	18	3	586	0	11	244	150	32	2	0	9	33	10	740	0	1
BAK1P1	0	1	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0
BAK1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAMBI	0	2	0	0	0	0	4	0	0	0	5	0	0	0	0	0	0	2	0	0
BANCR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BANF1	99	132	66	8	28	6	848	2	45	269	150	57	13	15	22	103	7	1252	3	12
BANF1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BANF1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
BANF1P3	19	24	47	4	32	10	30	48	2	30	34	21	3	11	24	5	30	36	38	13
BANF1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BANF1P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BANF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BANK1	702	417	132	116	278	76	1292	0	242	1684	355	227	71	167	183	1845	34	1804	3	150
BANP	40	62	33	6	19	13	240	14	27	122	49	40	5	6	7	108	7	262	26	4
BAP1	160	231	76	35	31	10	812	1	30	419	220	56	35	21	27	201	11	1169	0	16
BARD1	25	24	3	0	3	0	81	0	2	70	13	15	0	5	0	60	0	104	0	9
BARHL1	0	2	1	0	1	3	3	3	0	0	2	4	0	0	0	0	2	4	0	2
BARHL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BARX1	3	0	1	0	0	0	1	0	0	4	0	0	0	0	0	0	0	3	0	0
BARX1-DT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BARX2	1	1	3	0	0	0	0	2	0	2	2	0	0	0	0	0	2	5	0	0
BASP1	656	852	176	51	145	23	1503	25	122	1757	836	248	41	21	33	483	35	2320	39	66
BASP1-AS1	6	1	0	0	0	0	6	0	0	2	3	0	0	0	0	0	1	7	1	0
BASP1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BATF	158	225	27	5	0	0	676	0	1	403	285	26	22	0	3	31	4	874	0	3
BATF2	23	4	5	6	0	0	39	0	3	35	2	6	0	0	0	14	0	29	0	0
BATF3	11	11	5	0	0	0	199	0	4	24	3	6	8	5	0	0	0	246	0	0
BAX	198	219	72	24	43	13	939	0	58	415	179	82	28	5	37	169	6	1232	0	18
BAZ1A	210	237	59	30	171	77	706	172	104	521	189	130	32	50	99	296	84	976	191	120
BAZ1B	267	345	77	56	130	73	1063	98	133	656	317	173	52	75	117	494	47	1601	129	108
BAZ2A	507	482	123	144	321	221	1771	257	256	1470	439	338	57	145	256	1217	66	2057	348	286
BAZ2B	153	164	75	14	140	86	132	162	86	273	157	122	0	55	99	132	185	192	184	212
BBC3	51	58	13	0	4	8	99	2	9	81	57	18	13	6	0	6	4	141	2	3
BBIP1	28	26	8	6	8	2	84	0	9	73	16	5	1	6	1	97	2	130	0	0
BBIP1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BBOF1	2	1	0	0	0	0	10	0	0	5	3	1	0	0	0	0	0	27	0	0
BBOX1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
BBOX1-AS1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BBS1	0	1	0	0	0	0	5	0	0	6	0	0	0	0	0	5	0	17	0	0
BBS10	17	15	5	0	9	1	23	0	5	53	13	10	0	0	8	47	0	50	0	0
BBS12	11	5	2	5	6	0	11	0	3	12	9	3	0	0	0	9	0	22	0	0
BBS2	33	38	21	6	29	7	151	3	5	94	20	23	0	8	8	77	8	242	2	13
BBS4	16	20	5	0	12	2	137	0	2	79	32	9	0	8	3	35	7	187	0	4
BBS5	1	0	3	0	0	0	5	1	0	5	0	0	0	0	0	4	0	30	0	0
BBS7	14	12	5	0	10	0	56	0	4	35	9	8	6	4	11	50	0	123	0	3
BBS9	16	12	3	0	4	4	59	0	0	49	20	5	0	0	7	23	0	43	0	4
BBX	274	229	75	33	194	117	400	311	127	635	157	192	28	118	103	378	68	525	408	225
BCAM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCAN	1	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
BCAP29	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	4	0	0
BCAP31	348	365	258	44	122	103	963	248	154	504	328	198	34	40	119	187	262	1137	226	119
BCAP31P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCAP31P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCAR1	0	9	0	0	0	0	1	0	0	1	4	0	0	0	0	0	0	3	0	3
BCAR1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCAR1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCAR3	36	55	21	0	13	1	118	0	12	144	44	19	11	0	3	56	2	235	1	2
BCAR3-AS1	0	0	1	0	0	0	1	0	0	4	0	0	0	0	0	0	1	1	0	0
BCAR4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCAS1	7	6	0	0	8	0	25	0	0	6	5	6	0	0	0	0	6	56	0	0
BCAS2	42	77	30	0	24	12	204	38	15	149	71	39	4	11	12	63	32	309	37	19
BCAS2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCAS2P2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
BCAS2P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCAS3	26	32	19	6	4	7	126	2	7	71	29	16	0	4	11	41	2	109	2	3
BCAS4	138	91	76	7	31	19	477	0	18	254	79	54	15	8	28	209	14	619	0	14
BCAT1	76	51	3	15	4	2	236	0	0	264	42	8	5	4	0	40	2	411	0	0
